Sensor: NV Lab (ID: TS00NAHQ2A),Created: 2026-09-04 15:22:37 ,Start: 2026-08-05 15:22:34 ,End: 2026-09-04 15:22:34 

Timestamp,Temperature,Humidity,Heat Index,Dew Point,Battery,Connection Quality (RSSI),Seconds to Connect,
2026-08-05 15:33:22 ,24.8,49.5,25,13.5,71,-55,1,
2026-08-05 15:48:22 ,24.8,49.7,24.4,13.5,73,-57,1,
2026-08-05 16:03:22 ,24.8,49.8,24.4,13.5,71,-56,1,
2026-08-05 16:18:22 ,24.7,50,24.4,13.6,73,-57,1,
2026-08-05 16:33:22 ,24.7,50,24.4,13.5,71,-55,1,
2026-08-05 16:48:22 ,24.6,50.1,24.4,13.5,73,-55,1,
2026-08-05 17:03:22 ,24.6,50.3,24.4,13.5,71,-51,1,
2026-08-05 17:18:22 ,24.5,50.3,24.4,13.5,71,-55,1,
2026-08-05 17:33:22 ,24.5,50.5,24.4,13.5,73,-53,1,
2026-08-05 17:48:22 ,24.5,50.5,24.4,13.5,73,-53,1,
2026-08-05 18:03:22 ,24.5,50.5,24.4,13.5,73,-50,1,
2026-08-05 18:18:22 ,24.5,50.5,24.4,13.5,73,-55,1,
2026-08-05 18:33:22 ,24.5,50.5,24.4,13.5,73,-54,1,
2026-08-05 18:48:22 ,24.5,50.5,24.4,13.5,73,-52,1,
2026-08-05 19:03:22 ,24.5,50.6,24.4,13.5,73,-51,1,
2026-08-05 19:18:22 ,24.5,50.5,24.4,13.5,71,-52,1,
2026-08-05 19:33:22 ,24.5,50.5,24.4,13.5,71,-52,1,
2026-08-05 19:48:22 ,24.4,50.4,24.4,13.5,73,-50,1,
2026-08-05 20:03:22 ,24.4,50.4,24.4,13.5,73,-52,1,
2026-08-05 20:18:22 ,24.4,50.4,24.4,13.4,73,-49,1,
2026-08-05 20:33:22 ,24.4,50.4,24.4,13.4,73,-53,1,
2026-08-05 20:48:22 ,24.4,50.4,24.4,13.4,73,-52,1,
2026-08-05 21:03:22 ,24.4,50.3,24.4,13.4,73,-52,1,
2026-08-05 21:18:22 ,24.4,50.3,24.4,13.4,73,-51,1,
2026-08-05 21:33:22 ,24.4,50.2,24.4,13.4,73,-54,1,
2026-08-05 21:48:22 ,24.4,50.1,24.4,13.3,73,-52,1,
2026-08-05 22:03:22 ,24.4,49.9,24.4,13.2,71,-52,1,
2026-08-05 22:18:22 ,24.4,49.8,24.4,13.2,71,-53,1,
2026-08-05 22:33:22 ,24.4,49.7,24.4,13.2,71,-53,1,
2026-08-05 22:48:22 ,24.4,49.7,24.4,13.2,73,-51,1,
2026-08-05 23:03:22 ,24.4,49.5,24.4,13.1,73,-52,1,
2026-08-05 23:18:22 ,24.3,49.4,24.4,13,73,-52,1,
2026-08-05 23:33:22 ,24.3,49.4,24.4,13,71,-52,1,
2026-08-05 23:48:22 ,24.4,49.4,24.4,13.1,73,-53,1,
2026-08-06 00:03:22 ,24.4,49.4,24.4,13.1,73,-52,1,
2026-08-06 00:18:22 ,24.4,49.4,24.4,13.1,71,-52,1,
2026-08-06 00:33:22 ,24.4,49.6,24.4,13.1,71,-53,1,
2026-08-06 00:48:22 ,24.4,49.6,24.4,13.1,71,-51,1,
2026-08-06 01:03:22 ,24.3,49.5,24.4,13.1,71,-52,1,
2026-08-06 01:18:22 ,24.3,49.5,24.4,13.1,71,-51,1,
2026-08-06 01:33:22 ,24.3,49.5,24.4,13.1,73,-52,1,
2026-08-06 01:48:22 ,24.3,49.6,24.4,13.1,71,-51,1,
2026-08-06 02:03:22 ,24.3,49.7,24.4,13.1,71,-52,1,
2026-08-06 02:18:22 ,24.3,49.8,24.4,13.2,71,-52,1,
2026-08-06 02:33:22 ,24.3,49.9,24.4,13.2,71,-52,1,
2026-08-06 02:48:22 ,24.3,49.9,24.4,13.2,71,-52,1,
2026-08-06 03:03:22 ,24.3,49.9,24.4,13.2,71,-52,1,
2026-08-06 03:18:22 ,24.3,49.9,24.4,13.2,71,-53,1,
2026-08-06 03:33:22 ,24.3,50,24.4,13.2,71,-55,1,
2026-08-06 03:48:22 ,24.3,49.9,24.4,13.2,71,-52,1,
2026-08-06 04:03:22 ,24.3,49.9,24.4,13.2,71,-51,1,
2026-08-06 04:18:22 ,24.3,50,24.4,13.2,71,-53,1,
2026-08-06 04:33:22 ,24.3,50,24.4,13.2,73,-48,1,
2026-08-06 04:48:22 ,24.3,50,24.4,13.2,73,-52,1,
2026-08-06 05:03:22 ,24.3,49.9,24.4,13.2,71,-53,1,
2026-08-06 05:18:22 ,24.3,49.9,24.4,13.1,73,-52,1,
2026-08-06 05:33:22 ,24.3,50,24.4,13.1,71,-52,1,
2026-08-06 05:48:22 ,24.3,50,24.4,13.2,71,-52,1,
2026-08-06 06:03:22 ,24.3,50,24.4,13.2,71,-52,1,
2026-08-06 06:18:22 ,24.3,50,24.4,13.2,71,-51,1,
2026-08-06 06:33:22 ,24.3,49.9,24.4,13.1,71,-52,1,
2026-08-06 06:48:22 ,24.3,49.8,24.4,13.1,71,-51,1,
2026-08-06 07:03:22 ,24.3,49.7,24.4,13.1,71,-52,1,
2026-08-06 07:18:22 ,24.2,49.6,23.9,13,71,-52,1,
2026-08-06 07:33:22 ,24.2,49.6,23.9,13,71,-52,1,
2026-08-06 07:48:22 ,24.3,49.6,24.4,13,71,-53,1,
2026-08-06 08:03:22 ,24.2,49.6,23.9,13,71,-51,1,
2026-08-06 08:18:22 ,24.2,49.5,23.9,13,71,-49,1,
2026-08-06 08:33:22 ,24.2,49.3,23.9,12.9,71,-55,1,
2026-08-06 08:48:22 ,24.3,49.3,23.9,12.9,71,-53,1,
2026-08-06 09:03:22 ,24.2,49.2,23.9,12.9,73,-53,1,
2026-08-06 09:18:22 ,24.2,49.2,23.9,12.9,71,-52,1,
2026-08-06 09:33:22 ,24.3,49.2,23.9,12.9,71,-54,1,
2026-08-06 09:48:22 ,24.3,49.2,23.9,12.9,71,-54,1,
2026-08-06 10:03:22 ,24.3,49.2,23.9,12.9,71,-53,1,
2026-08-06 10:18:22 ,24.3,49.4,23.9,13,71,-51,1,
2026-08-06 10:33:22 ,24.3,49.6,24.4,13,71,-50,1,
2026-08-06 10:48:22 ,24.3,49.8,24.4,13.1,71,-52,1,
2026-08-06 11:03:22 ,24.3,49.9,24.4,13.2,71,-50,1,
2026-08-06 11:18:22 ,24.4,49.9,24.4,13.2,71,-52,1,
2026-08-06 11:33:22 ,24.5,49.9,24.4,13.3,71,-48,1,
2026-08-06 11:48:22 ,24.5,49.9,24.4,13.4,71,-52,1,
2026-08-06 12:03:22 ,24.6,49.8,24.4,13.4,71,-48,1,
2026-08-06 12:18:22 ,24.7,49.7,24.4,13.4,71,-47,1,
2026-08-06 12:33:22 ,24.8,49.7,24.4,13.5,73,-48,1,
2026-08-06 12:48:22 ,24.8,49.7,24.4,13.5,71,-49,1,
2026-08-06 13:03:22 ,24.8,49.8,25,13.6,71,-48,1,
2026-08-06 13:18:22 ,24.9,49.7,25,13.6,71,-50,1,
2026-08-06 13:33:22 ,24.9,49.7,25,13.7,71,-47,1,
2026-08-06 13:48:22 ,24.9,49.6,25,13.7,71,-50,1,
2026-08-06 14:03:22 ,25,49.5,25,13.7,71,-49,1,
2026-08-06 14:18:22 ,25,49.4,25,13.7,71,-48,1,
2026-08-06 14:33:22 ,25.1,49.4,25,13.7,71,-50,1,
2026-08-06 14:48:22 ,25.1,49.4,25,13.7,71,-47,1,
2026-08-06 15:03:22 ,25.1,49.1,25,13.7,71,-49,1,
2026-08-06 15:18:22 ,25.1,48.8,25,13.6,71,-47,1,
2026-08-06 15:33:22 ,25.1,48.7,25,13.6,71,-50,1,
2026-08-06 15:48:22 ,25.1,48.7,25,13.5,71,-51,1,
2026-08-06 16:03:22 ,25.1,48.8,25,13.5,71,-48,1,
2026-08-06 16:18:22 ,25.1,48.8,25,13.5,71,-47,1,
2026-08-06 16:33:22 ,25,48.7,25,13.4,71,-51,1,
2026-08-06 16:48:22 ,25,48.6,25,13.4,71,-48,1,
2026-08-06 17:03:22 ,25,48.6,25,13.4,71,-51,1,
2026-08-06 17:18:22 ,25,48.6,25,13.4,71,-52,1,
2026-08-06 17:33:22 ,25,48.7,25,13.4,71,-50,1,
2026-08-06 17:48:22 ,24.9,48.7,25,13.4,71,-54,1,
2026-08-06 18:03:22 ,24.9,48.5,25,13.3,71,-48,1,
2026-08-06 18:18:22 ,24.9,48.3,25,13.2,71,-51,1,
2026-08-06 18:33:22 ,24.9,48.3,25,13.2,71,-49,1,
2026-08-06 18:48:22 ,24.9,48.2,25,13.2,71,-48,1,
2026-08-06 19:03:22 ,24.9,48.1,25,13.1,71,-51,1,
2026-08-06 19:18:22 ,24.9,48,25,13.1,71,-55,1,
2026-08-06 19:33:22 ,24.9,47.9,25,13.1,71,-52,1,
2026-08-06 19:48:22 ,24.9,47.8,25,13.1,71,-51,1,
2026-08-06 20:03:22 ,24.9,47.7,25,13.1,71,-53,1,
2026-08-06 20:18:22 ,24.9,47.6,25,13,71,-53,1,
2026-08-06 20:33:22 ,24.9,47.6,25,13,73,-51,1,
2026-08-06 20:48:22 ,24.9,47.5,25,13,71,-52,1,
2026-08-06 21:03:22 ,24.9,47.5,25,13,71,-53,1,
2026-08-06 21:18:22 ,24.9,47.6,25,13,71,-52,1,
2026-08-06 21:33:22 ,24.9,47.6,25,13,71,-53,1,
2026-08-06 21:48:22 ,24.9,47.5,25,12.9,71,-53,1,
2026-08-06 22:03:22 ,24.8,47.4,24.4,12.9,71,-51,1,
2026-08-06 22:18:22 ,24.8,47.2,24.4,12.8,71,-50,1,
2026-08-06 22:33:22 ,24.8,47.2,24.4,12.7,71,-52,1,
2026-08-06 22:48:22 ,24.8,47.2,24.4,12.7,71,-50,1,
2026-08-06 23:03:22 ,24.8,47.2,24.4,12.7,71,-53,1,
2026-08-06 23:18:22 ,24.7,47.2,24.4,12.7,71,-51,1,
2026-08-06 23:33:22 ,24.7,47.3,24.4,12.7,71,-52,1,
2026-08-06 23:48:22 ,24.7,47.3,24.4,12.7,71,-53,1,
2026-08-07 00:03:22 ,24.7,47.4,24.4,12.7,71,-53,1,
2026-08-07 00:18:22 ,24.7,47.5,24.4,12.7,71,-52,1,
2026-08-07 00:33:22 ,24.7,47.5,24.4,12.7,71,-53,1,
2026-08-07 00:48:22 ,24.6,47.6,24.4,12.7,71,-52,1,
2026-08-07 01:03:22 ,24.6,47.7,24.4,12.7,71,-52,1,
2026-08-07 01:18:22 ,24.6,47.7,24.4,12.7,71,-51,1,
2026-08-07 01:33:22 ,24.6,47.7,24.4,12.7,71,-52,1,
2026-08-07 01:48:22 ,24.6,47.7,24.4,12.7,71,-52,1,
2026-08-07 02:03:22 ,24.6,47.8,24.4,12.7,71,-53,1,
2026-08-07 02:18:22 ,24.6,47.9,24.4,12.8,71,-53,1,
2026-08-07 02:33:22 ,24.5,48.1,24.4,12.8,71,-52,1,
2026-08-07 02:48:22 ,24.5,48.2,24.4,12.8,71,-51,1,
2026-08-07 03:03:22 ,24.5,48.4,24.4,12.9,71,-52,1,
2026-08-07 03:18:22 ,24.5,48.6,24.4,12.9,71,-53,1,
2026-08-07 03:33:22 ,24.5,48.6,24.4,12.9,71,-52,1,
2026-08-07 03:48:22 ,24.5,48.7,24.4,13,71,-52,1,
2026-08-07 04:03:22 ,24.5,48.7,24.4,13,71,-52,1,
2026-08-07 04:18:22 ,24.5,48.6,24.4,12.9,71,-52,1,
2026-08-07 04:33:22 ,24.5,48.6,24.4,12.9,73,-51,1,
2026-08-07 04:48:22 ,24.5,48.5,24.4,12.9,71,-52,1,
2026-08-07 05:03:22 ,24.5,48.5,24.4,12.9,71,-53,1,
2026-08-07 05:18:22 ,24.5,48.6,24.4,12.9,71,-52,1,
2026-08-07 05:33:22 ,24.4,48.5,24.4,12.9,71,-52,1,
2026-08-07 05:48:22 ,24.4,48.5,24.4,12.9,71,-51,1,
2026-08-07 06:03:22 ,24.4,48.3,24.4,12.8,71,-50,1,
2026-08-07 06:18:22 ,24.5,48.2,24.4,12.8,71,-52,1,
2026-08-07 06:33:22 ,24.4,48.1,24.4,12.7,71,-53,1,
2026-08-07 06:48:22 ,24.4,48,24.4,12.7,71,-51,1,
2026-08-07 07:03:22 ,24.4,47.9,24.4,12.6,71,-51,1,
2026-08-07 07:18:22 ,24.4,48,24.4,12.6,71,-51,1,
2026-08-07 07:33:22 ,24.4,48,24.4,12.6,71,-52,1,
2026-08-07 07:48:22 ,24.4,48,24.4,12.6,71,-52,1,
2026-08-07 08:03:22 ,24.4,48,24.4,12.6,71,-52,1,
2026-08-07 08:18:22 ,24.3,48,24.4,12.6,71,-51,1,
2026-08-07 08:33:22 ,24.3,48.1,24.4,12.6,71,-53,1,
2026-08-07 08:48:22 ,24.4,48.2,24.4,12.7,71,-52,1,
2026-08-07 09:03:22 ,24.3,48.3,24.4,12.7,71,-53,1,
2026-08-07 09:18:22 ,24.4,48.4,24.4,12.8,71,-52,1,
2026-08-07 09:33:22 ,24.4,48.6,24.4,12.8,71,-52,1,
2026-08-07 09:48:22 ,24.4,48.8,24.4,12.9,71,-51,2,
2026-08-07 10:03:22 ,24.4,48.9,24.4,12.9,71,-52,1,
2026-08-07 10:18:22 ,24.4,49.1,24.4,13,71,-52,1,
2026-08-07 10:33:22 ,24.5,49.2,24.4,13.1,71,-51,1,
2026-08-07 10:48:22 ,24.5,49.3,24.4,13.2,71,-50,1,
2026-08-07 11:03:22 ,24.6,49.5,24.4,13.3,71,-48,1,
2026-08-07 11:18:22 ,24.6,49.6,24.4,13.3,71,-51,1,
2026-08-07 11:33:22 ,24.6,49.7,24.4,13.4,71,-50,1,
2026-08-07 11:48:22 ,24.6,49.7,24.4,13.4,71,-52,1,
2026-08-07 12:03:22 ,24.6,49.7,24.4,13.4,71,-53,1,
2026-08-07 12:18:22 ,24.6,49.6,24.4,13.4,71,-52,1,
2026-08-07 12:33:22 ,24.6,49.5,24.4,13.3,73,-53,1,
2026-08-07 12:48:22 ,24.6,49.5,24.4,13.3,71,-53,1,
2026-08-07 13:03:22 ,24.6,49.8,24.4,13.4,71,-54,1,
2026-08-07 13:18:22 ,24.7,49.8,24.4,13.5,71,-52,1,
2026-08-07 13:33:22 ,24.7,49.8,24.4,13.5,71,-52,1,
2026-08-07 13:48:22 ,24.6,49.8,24.4,13.4,71,-53,1,
2026-08-07 14:03:22 ,24.6,49.8,24.4,13.4,71,-47,1,
2026-08-07 14:18:22 ,24.6,49.7,24.4,13.4,71,-53,1,
2026-08-07 14:33:22 ,24.7,49.7,24.4,13.4,71,-52,1,
2026-08-07 14:48:22 ,24.7,49.8,24.4,13.5,71,-49,1,
2026-08-07 15:03:22 ,24.7,50,24.4,13.6,71,-54,1,
2026-08-07 15:18:22 ,24.7,50.1,24.4,13.6,71,-48,1,
2026-08-07 15:33:22 ,24.6,50.2,24.4,13.5,71,-53,1,
2026-08-07 15:48:22 ,24.6,50.1,24.4,13.5,71,-51,1,
2026-08-07 16:03:22 ,24.5,49.9,24.4,13.4,71,-50,1,
2026-08-07 16:18:22 ,24.5,49.7,24.4,13.3,71,-52,1,
2026-08-07 16:33:22 ,24.5,49.8,24.4,13.3,71,-58,1,
2026-08-07 16:48:22 ,24.5,50,24.4,13.3,71,-53,1,
2026-08-07 17:03:22 ,24.5,50.3,24.4,13.4,71,-54,1,
2026-08-07 17:18:22 ,24.4,50.5,24.4,13.5,71,-51,1,
2026-08-07 17:33:22 ,24.4,50.6,24.4,13.5,71,-54,1,
2026-08-07 17:48:22 ,24.4,50.6,24.4,13.5,71,-53,1,
2026-08-07 18:03:22 ,24.4,50.6,24.4,13.5,71,-51,1,
2026-08-07 18:18:22 ,24.4,50.5,24.4,13.5,71,-53,1,
2026-08-07 18:33:22 ,24.4,50.6,24.4,13.5,71,-53,1,
2026-08-07 18:48:22 ,24.5,50.4,24.4,13.5,71,-55,1,
2026-08-07 19:03:22 ,24.5,50.4,24.4,13.5,71,-49,1,
2026-08-07 19:18:22 ,24.5,50.2,24.4,13.5,71,-53,1,
2026-08-07 19:33:22 ,24.5,50.1,24.4,13.4,71,-53,1,
2026-08-07 19:48:22 ,24.6,49.8,24.4,13.4,71,-52,1,
2026-08-07 20:03:22 ,24.5,49.6,24.4,13.3,71,-52,1,
2026-08-07 20:18:22 ,24.5,49.4,24.4,13.2,71,-52,1,
2026-08-07 20:33:22 ,24.5,49.5,24.4,13.2,71,-51,1,
2026-08-07 20:48:22 ,24.5,49.5,24.4,13.2,71,-54,1,
2026-08-07 21:03:22 ,24.5,49.4,24.4,13.2,71,-54,1,
2026-08-07 21:18:22 ,24.4,49.3,24.4,13.1,71,-53,1,
2026-08-07 21:33:22 ,24.5,49.1,24.4,13.1,71,-55,1,
2026-08-07 21:48:22 ,24.4,49.1,24.4,13,71,-57,1,
2026-08-07 22:03:22 ,24.4,49,24.4,13,71,-57,1,
2026-08-07 22:18:22 ,24.4,49,24.4,13,71,-56,1,
2026-08-07 22:33:22 ,24.4,48.9,24.4,12.9,71,-57,1,
2026-08-07 22:48:22 ,24.4,48.8,24.4,12.9,71,-57,1,
2026-08-07 23:03:22 ,24.3,48.9,24.4,12.9,71,-58,1,
2026-08-07 23:18:22 ,24.4,48.9,24.4,12.9,71,-57,1,
2026-08-07 23:33:22 ,24.3,49,24.4,12.9,71,-57,1,
2026-08-07 23:48:22 ,24.3,49,24.4,12.9,71,-57,1,
2026-08-08 00:03:22 ,24.3,49,24.4,12.9,71,-57,1,
2026-08-08 00:18:22 ,24.3,49,23.9,12.9,71,-57,1,
2026-08-08 00:33:22 ,24.3,49,23.9,12.9,71,-56,1,
2026-08-08 00:48:22 ,24.3,49,23.9,12.8,71,-53,1,
2026-08-08 01:03:22 ,24.3,49.1,23.9,12.9,71,-58,1,
2026-08-08 01:18:22 ,24.2,49.1,23.9,12.8,71,-57,1,
2026-08-08 01:33:22 ,24.2,49.1,23.9,12.8,71,-57,1,
2026-08-08 01:48:22 ,24.2,49.2,23.9,12.8,71,-56,1,
2026-08-08 02:03:22 ,24.2,49.2,23.9,12.8,71,-57,1,
2026-08-08 02:18:22 ,24.2,49.2,23.9,12.8,71,-58,1,
2026-08-08 02:33:22 ,24.2,49.2,23.9,12.8,71,-57,1,
2026-08-08 02:48:22 ,24.2,49.3,23.9,12.8,71,-56,1,
2026-08-08 03:03:22 ,24.2,49.3,23.9,12.9,71,-58,1,
2026-08-08 03:18:22 ,24.1,49.4,23.9,12.9,71,-56,1,
2026-08-08 03:33:22 ,24.2,49.4,23.9,12.9,71,-57,1,
2026-08-08 03:48:22 ,24.2,49.3,23.9,12.8,71,-56,1,
2026-08-08 04:03:22 ,24.1,49.3,23.9,12.8,71,-57,1,
2026-08-08 04:18:22 ,24.2,49.3,23.9,12.8,71,-57,1,
2026-08-08 04:33:22 ,24.2,49.3,23.9,12.8,71,-58,1,
2026-08-08 04:48:22 ,24.1,49.3,23.9,12.8,71,-56,1,
2026-08-08 05:03:22 ,24.1,49.3,23.9,12.8,71,-57,1,
2026-08-08 05:18:22 ,24.1,49.3,23.9,12.8,71,-58,1,
2026-08-08 05:33:22 ,24.1,49.4,23.9,12.8,71,-57,1,
2026-08-08 05:48:22 ,24.1,49.5,23.9,12.8,71,-56,1,
2026-08-08 06:03:22 ,24.1,49.5,23.9,12.9,71,-57,1,
2026-08-08 06:18:22 ,24.1,49.5,23.9,12.8,71,-57,1,
2026-08-08 06:33:22 ,24.1,49.5,23.9,12.8,71,-57,1,
2026-08-08 06:48:22 ,24.1,49.5,23.9,12.8,71,-57,1,
2026-08-08 07:03:22 ,24.1,49.5,23.9,12.8,71,-57,1,
2026-08-08 07:18:22 ,24.1,49.5,23.9,12.8,71,-57,1,
2026-08-08 07:33:22 ,24.1,49.5,23.9,12.8,71,-57,1,
2026-08-08 07:48:22 ,24.1,49.5,23.9,12.8,71,-57,1,
2026-08-08 08:03:22 ,24.1,49.5,23.9,12.8,71,-57,1,
2026-08-08 08:18:22 ,24.1,49.6,23.9,12.9,71,-57,1,
2026-08-08 08:33:22 ,24.1,49.8,23.9,12.9,71,-56,1,
2026-08-08 08:48:22 ,24.1,49.8,23.9,12.9,71,-57,1,
2026-08-08 09:03:22 ,24.1,49.9,23.9,13,71,-53,1,
2026-08-08 09:18:22 ,24.1,49.9,23.9,13,71,-57,1,
2026-08-08 09:33:22 ,24.1,49.9,23.9,13,71,-56,1,
2026-08-08 09:48:22 ,24.1,50,23.9,13,71,-57,1,
2026-08-08 10:03:22 ,24.1,50,23.9,13,71,-56,1,
2026-08-08 10:18:22 ,24.1,50.1,23.9,13.1,71,-57,1,
2026-08-08 10:33:22 ,24.2,50.1,23.9,13.1,71,-56,1,
2026-08-08 10:48:22 ,24.2,50.1,23.9,13.1,71,-52,1,
2026-08-08 11:03:22 ,24.2,50.2,23.9,13.2,71,-54,1,
2026-08-08 11:18:22 ,24.2,50.2,23.9,13.2,71,-54,1,
2026-08-08 11:33:22 ,24.2,50.3,23.9,13.2,71,-55,1,
2026-08-08 11:48:22 ,24.3,50.7,24.4,13.4,71,-56,1,
2026-08-08 12:03:22 ,24.3,50.8,24.4,13.4,71,-54,1,
2026-08-08 12:18:22 ,24.3,51,24.4,13.5,71,-53,1,
2026-08-08 12:33:22 ,24.3,51,24.4,13.5,71,-56,1,
2026-08-08 12:48:22 ,24.3,50.9,24.4,13.5,71,-55,1,
