freq_MHz,5ppb,10ppb,50ppb,75ppb,100ppb,200ppb,500ppb,1000ppb
40.0000,1.00000000,1.00000000,0.99999999,0.99999970,0.99999782,0.99995994,0.99977364,0.99888605
40.0550,1.00000000,1.00000000,1.00000000,0.99999990,0.99999890,0.99996718,0.99978239,0.99891882
40.1100,1.00000000,1.00000000,1.00000000,0.99999997,0.99999948,0.99997363,0.99979134,0.99895107
40.1650,1.00000000,1.00000000,1.00000000,0.99999999,0.99999977,0.99997923,0.99980046,0.99898279
40.2201,1.00000000,1.00000000,1.00000000,1.00000000,0.99999990,0.99998395,0.99980969,0.99901398
40.2751,1.00000000,1.00000000,1.00000000,1.00000000,0.99999996,0.99998784,0.99981901,0.99904462
40.3301,1.00000000,1.00000000,1.00000000,1.00000000,0.99999999,0.99999096,0.99982836,0.99907471
40.3851,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999342,0.99983771,0.99910424
40.4401,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999530,0.99984699,0.99913320
40.4951,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999670,0.99985618,0.99916160
40.5501,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999773,0.99986522,0.99918943
40.6052,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999847,0.99987408,0.99921668
40.6602,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999899,0.99988272,0.99924335
40.7152,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999935,0.99989111,0.99926945
40.7702,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999958,0.99989921,0.99929497
40.8252,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999974,0.99990700,0.99931991
40.8802,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999984,0.99991447,0.99934428
40.9352,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999991,0.99992158,0.99936806
40.9902,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999994,0.99992833,0.99939127
41.0453,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999997,0.99993471,0.99941391
41.1003,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999998,0.99994071,0.99943597
41.1553,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999999,0.99994633,0.99945747
41.2103,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999999,0.99995158,0.99947840
41.2653,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99995645,0.99949878
41.3203,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99996096,0.99951860
41.3753,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99996512,0.99953787
41.4304,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99996894,0.99955659
41.4854,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99997242,0.99957477
41.5404,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99997560,0.99959242
41.5954,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99997848,0.99960954
41.6504,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99998108,0.99962614
41.7054,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99998342,0.99964223
41.7604,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99998552,0.99965781
41.8155,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99998740,0.99967289
41.8705,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99998907,0.99968747
41.9255,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999054,0.99970158
41.9805,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999185,0.99971520
42.0355,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999300,0.99972836
42.0905,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999400,0.99974106
42.1455,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999488,0.99975331
42.2006,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999564,0.99976512
42.2556,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999631,0.99977649
42.3106,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999688,0.99978744
42.3656,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999737,0.99979797
42.4206,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999779,0.99980810
42.4756,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999815,0.99981783
42.5306,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999846,0.99982717
42.5856,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999872,0.99983614
42.6407,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999894,0.99984474
42.6957,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999912,0.99985298
42.7507,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999928,0.99986087
42.8057,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999941,0.99986842
42.8607,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999952,0.99987564
42.9157,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999960,0.99988254
42.9707,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999968,0.99988913
43.0258,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999974,0.99989542
43.0808,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999979,0.99990142
43.1358,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999983,0.99990714
43.1908,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999986,0.99991258
43.2458,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999989,0.99991777
43.3008,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999991,0.99992269
43.3558,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999993,0.99992737
43.4109,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999995,0.99993182
43.4659,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999996,0.99993603
43.5209,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999997,0.99994003
43.5759,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999997,0.99994382
43.6309,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999998,0.99994740
43.6859,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999998,0.99995079
43.7409,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999999,0.99995400
43.7959,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999999,0.99995703
43.8510,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999999,0.99995988
43.9060,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999999,0.99996258
43.9610,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99996512
44.0160,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99996751
44.0710,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99996975
44.1260,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99997187
44.1810,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99997385
44.2361,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99997571
44.2911,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99997746
44.3461,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99997910
