JT_axis,freq_MHz,intensity,sigma,deer_weight,state_lo,state_hi
A [111],31.939641,0.03499439,0.08911734,0.00311861,4,5
A [111],36.812388,0.08382260,0.11062808,0.00927313,3,4
A [111],39.465667,0.02888420,0.10451395,0.00301880,0,1
A [111],68.752029,0.00033440,0.19974542,0.00006680,3,5
A [111],77.640162,0.09590685,0.01957137,0.00187703,1,2
A [111],80.292037,0.37677925,0.14776323,0.05567412,2,3
A [111],117.104425,0.01577863,0.03713515,0.00058594,2,4
A [111],117.105829,0.00132810,0.12408532,0.00016480,0,2
A [111],157.932200,0.00830443,0.12819187,0.00106456,1,3
A [111],194.744588,0.36233883,0.01756379,0.00636404,1,4
A [111],197.397866,0.00663446,0.02367791,0.00015709,0,3
A [111],226.684228,0.00101144,0.07155355,0.00007237,1,5
A [111],234.210254,0.00243439,0.08695017,0.00021167,0,4
A [111],266.149895,0.45659640,0.17606751,0.08039179,0,5
B [-1-11],30.141248,0.03634455,0.09487498,0.00344819,4,5
B [-1-11],34.844125,0.08320441,0.09019264,0.00750443,3,4
B [-1-11],37.464986,0.03034032,0.10010447,0.00303720,0,1
B [-1-11],64.985373,0.00044244,0.18506762,0.00008188,3,5
B [-1-11],77.069465,0.09530047,0.03847989,0.00366715,1,2
B [-1-11],84.230335,0.37834571,0.25412272,0.09614624,2,3
B [-1-11],114.534451,0.00144035,0.13858436,0.00019961,0,2
B [-1-11],119.074460,0.01587362,0.16393008,0.00260216,2,4
B [-1-11],161.299800,0.00833017,0.21564283,0.00179634,1,3
B [-1-11],196.143925,0.36073939,0.12545019,0.04525483,1,4
B [-1-11],198.764787,0.00691868,0.11553836,0.00079937,0,3
B [-1-11],226.285173,0.00124753,0.03057521,0.00003814,1,5
B [-1-11],233.608912,0.00291835,0.02534572,0.00007397,0,4
B [-1-11],263.750160,0.45380444,0.06952926,0.03155269,0,5
C [-11-1],25.754924,0.04068466,0.08613552,0.00350439,4,5
C [-11-1],31.347743,0.08351537,0.05740543,0.00479424,3,4
C [-11-1],32.953665,0.03470571,0.08550768,0.00296760,0,1
C [-11-1],57.102667,0.00062494,0.14354095,0.00008970,3,5
C [-11-1],76.389601,0.09451775,0.00706907,0.00066815,1,2
C [-11-1],91.823048,0.38755865,0.06570840,0.02546586,2,3
C [-11-1],109.343265,0.00126770,0.07843861,0.00009944,0,2
C [-11-1],123.170791,0.01147042,0.00830297,0.00009524,2,4
C [-11-1],148.925715,0.00010805,0.07783255,0.00000841,2,5
C [-11-1],168.212648,0.00595326,0.07277747,0.00043326,1,3
C [-11-1],199.560392,0.35941320,0.01537204,0.00552491,1,4
C [-11-1],201.166313,0.00786232,0.01273021,0.00010009,0,3
C [-11-1],225.315315,0.00154015,0.07076348,0.00010899,1,5
C [-11-1],232.514056,0.00331999,0.07013564,0.00023285,0,4
C [-11-1],258.268980,0.44864977,0.15627116,0.07011102,0,5
D [1-1-1],24.145444,0.04284516,0.07773763,0.00333068,4,5
D [1-1-1],30.461656,0.08397612,0.03352625,0.00281540,3,4
D [1-1-1],31.437613,0.03662999,0.06924423,0.00253642,0,1
D [1-1-1],54.607100,0.00061313,0.11126388,0.00006822,3,5
D [1-1-1],76.317525,0.09443141,0.01456690,0.00137557,1,2
D [1-1-1],94.028863,0.39192228,0.15970125,0.06259048,2,3
D [1-1-1],107.755138,0.00104812,0.08381113,0.00008784,0,2
D [1-1-1],124.490519,0.00879165,0.12617500,0.00110929,2,4
D [1-1-1],148.635964,0.00018920,0.04843737,0.00000916,2,5
D [1-1-1],170.346388,0.00453452,0.14513435,0.00065811,1,3
D [1-1-1],200.808044,0.35966770,0.11160810,0.04014183,1,4
D [1-1-1],201.784001,0.00828257,0.07589012,0.00062857,0,3
D [1-1-1],224.953488,0.00146079,0.03387047,0.00004948,1,5
D [1-1-1],232.245657,0.00304599,0.04236387,0.00012904,0,4
D [1-1-1],256.391102,0.44748535,0.03537376,0.01582924,0,5
