field_G,nv_index,tau_us,normalized_signal,signal_ste
49,137,0.2,0.08634111818825205,0.047573521675770954
49,137,1.4,0.15057227225028683,0.048033766166333626
49,137,2.6,0.3719403567855139,0.04952817851349864
49,137,3.8,0.38685116040705775,0.04962393372602378
49,137,5.0,0.4143787978622154,0.049799142720984735
49,137,6.2,0.5164604534250922,0.05043141802242251
49,137,7.208,0.531371257046636,0.050521511862052434
49,137,8.216,0.531371257046636,0.05052151186205244
49,137,9.22,0.5841325621690219,0.05083577163597659
49,137,10.228,0.519901408106987,0.050452259407555856
49,137,11.236,0.5738096981233374,0.050774838561324316
49,137,12.244,0.5680747736535131,0.050740871204068116
49,137,13.248,0.5187544232130219,0.05044531565087677
49,137,13.436,0.6231300485638287,0.05106356315461874
49,137,13.624,0.5910144715328113,0.05087624538971851
49,137,13.812,0.6518046709129511,0.05122865697207579
49,137,14.0,0.5474290455621447,0.05061790179528644
49,137,14.188,0.6632745198526004,0.05129413009407228
49,137,14.376,0.6472167313370917,0.051202377662141245
49,137,14.564,0.60477829026039,0.050956838258380266
49,137,14.752,0.6862142177318986,0.051424115566199816
49,137,14.936,0.5898674866388461,0.050869507987448874
49,137,15.124,0.6368938672914073,0.051143060495458914
49,137,15.312,0.5783976376991972,0.05080195293076104
49,137,15.5,0.4866388461820045,0.05024951661808295
49,137,15.688,0.5336652268345657,0.05053532203675036
49,137,15.876,0.4017619640286016,0.049719090434236994
49,137,16.064,0.37308734167947877,0.04953556562660907
49,137,16.248,0.38111623593723315,0.04958717581594379
49,137,16.436,0.2893574444200404,0.04898684430959563
49,137,16.624,0.2170973961002513,0.04849754062998579
49,137,16.812,0.2641237767528125,0.0488176591331336
49,137,17.0,0.37308734167947877,0.04953556562660911
49,137,17.188,0.39258608487688207,0.049660603100471754
49,137,17.376,0.3203260365570929,0.04919204725386304
49,137,17.564,0.32376699123898783,0.04921468337536558
49,137,17.752,0.43387754105961895,0.049922026620189
49,137,17.936,0.4052029187104962,0.04974096504305345
49,137,18.124,0.4178197525441103,0.04982090148909722
49,137,18.312,0.4854918612880396,0.05024247452469458
49,137,18.5,0.42126070722600484,0.04984262876093775
49,137,18.688,0.5818385923810918,0.050822254045538216
49,137,18.876,0.569221758547478,0.05074767129552783
49,137,19.064,0.6323059277155479,0.05111661325116147
49,137,19.248,0.5738096981233374,0.0507748385613244
49,137,19.436,0.5783976376991972,0.05080195293076104
49,137,19.624,0.6609805500646704,0.05128106116197382
49,137,19.812,0.6242770334577935,0.0510702057792954
49,137,20.0,0.5141664836371624,0.050417506897889534
49,137,20.188,0.4132318129682505,0.04979188279197593
49,137,20.376,0.39946799424067153,0.049704489758631495
49,137,20.564,0.47975693681821535,0.05020721284556295
49,137,20.752,0.44190643531737334,0.049972333266721444
49,137,20.936,0.3834102057251628,0.04960188961683785
49,137,21.124,0.3157380969812335,0.04916181485340294
49,137,21.312,0.2962393537838299,0.04903267570603256
49,137,21.5,0.16204212118993574,0.04811465388397981
49,137,21.688,0.2526539278131636,0.04874016273265948
49,137,21.876,0.2859164897381458,0.0489638789357193
49,137,22.064,0.2652707616467774,0.0488253882850032
49,137,22.248,0.25150694291919873,0.0487323925653348
49,137,22.436,0.22168533567611107,0.048529050425716834
49,137,22.624,0.3845571906191277,0.04960924119728053
49,137,22.812,0.23544915440369005,0.04862321677205374
49,137,23.0,0.37767528125533856,0.04956507849086871
49,137,23.188,0.3031212631476194,0.04907837494320537
49,137,23.376,0.29738633867779474,0.049040301413297405
49,137,23.564,0.3375308099665668,0.049304901564781976
49,137,23.752,0.4430534202113382,0.0499795060470729
49,137,23.936,0.44993532957512766,0.0500224699874887
49,137,24.124,0.3788222661493034,0.04957244781783541
49,137,24.312,0.38111623593723315,0.04958717581594384
49,137,24.5,0.45911120872684685,0.05007956167917994
49,137,24.688,0.5026966346975131,0.050347748442039326
49,137,24.876,0.48893281596993454,0.05026359057391391
49,137,25.064,0.5141664836371624,0.05041750689788955
49,137,25.248,0.457964223832882,0.05007243729292418
49,137,26.284,0.5244893476828465,0.050480000749770076
49,137,27.32,0.5818385923810918,0.05082225404553818
49,137,28.356,0.5623398491836885,0.05070682103012586
49,137,29.392,0.49352075554579394,0.05029169760183634
49,137,30.428,0.5348122117285306,0.0505422220935339
49,137,31.464,0.5405471361983551,0.05057667212669717
49,137,32.5,0.5394001513043903,0.050569788815601584
49,137,33.7,0.6116601996241794,0.050996957933752
49,137,34.9,0.47860995192425015,0.05020015025723008
49,137,36.1,0.5738096981233374,0.05077483856132436
49,137,37.3,0.4774629670302853,0.050193084248030644
49,137,38.5,0.22283232057007593,0.048536918403616854
49,137,39.7,0.2801815652683212,0.04892552955784034
49,137,40.9,0.5646338189716182,0.05072045104837045
